MaddeID,SiraNo,Bolum,StandartGrubu,KaynakTuru,StandartMaddeNo,KontrolBasligi,DenetciYonlendirmesi,YontemKodu,DogrulamaYontemi,HazirSecenekler,Olcu1Adi,Olcu1Birimi,Olcu2Adi,Olcu2Birimi,TahrikKosulu,MDKosulu,EsikDeger,EsikOperator,Aktif,AranmazKosulu,GorselReferansi,OlcumTanimlariJSON,OtomatikAranmazKuraliJSON,ResmiMaddeMetni,KaynakFormKodu,KaynakFormRevizyonu,KaynakFormTabloNo,KaynakFormSatirNo,DenetimProfilleriJSON,KaynakFormBolumu,KaynakFormAltGrubu
MAD-0001,1,00 - Ön Kontrol,Genel,Standart / AVES Formu,Muayene öncesi 1,Yükler ve kalibrasyon belgeleri,Yük testi için gereken yükleri ve kalibrasyon belgelerini kontrol et.,null,null,null,null,null,null,null,null,null,null,null,true,null,null,[],null,null,null,null,null,null,"[""modul_g_tam""]",null,null
MAD-0002,2,00 - Ön Kontrol,Genel,Standart / AVES Formu,Muayene öncesi 2,Sahada rehberlik eden personel,Firma çalışanı ve gerekli personel bilgisini doğrula.,null,null,null,null,null,null,null,null,null,null,null,true,null,null,[],null,null,null,null,null,null,"[""modul_g_tam""]",null,null
MAD-0003,3,00 - Ön Kontrol,Genel,Standart / AVES Formu,Muayene öncesi 3,İş güvenliği önlemleri,Denetim başlamadan önce güvenli çalışma şartlarını kontrol et.,null,null,null,null,null,null,null,null,null,null,null,true,null,null,[],null,null,null,null,null,null,"[""modul_g_tam""]",null,null
MAD-0004,4,00 - Ön Kontrol,Genel,Standart / AVES Formu,Muayene öncesi 4,Asansörün muayeneye hazır olması,"Asansörün tamamlanmış, proje ve teknik dosyanın sahada olduğunu doğrula.",null,null,null,null,null,null,null,null,null,null,null,true,null,null,[],null,null,null,null,null,null,"[""modul_g_tam""]",null,null
MAD-0005,5,00 - Ön Kontrol,Genel,Standart / AVES Formu,ÜB.TL.03,Başlangıç güvenlik kontrolü,Kuyuya girmeden önce teknik uzmanın güvenlik kontrolünü tamamla.,null,null,null,null,null,null,null,null,null,null,null,true,null,null,[],null,null,null,null,null,null,"[""modul_g_tam""]",null,null
MAD-0006,6,01 - Kuyu Dibi,Genel,Ek Mühendislik,EK-M-001,Tampon kaidesi güvenliği,"Tampon kaidesinin zemine sabitlendiğini, gevşeme veya deformasyon olmadığını ve kaide ekseninin kılavuz ray ekseniyle çakıştığını kontrol edin.",null,null,Şüpheli uygulama|Kritik kusur,null,null,null,null,null,null,null,null,true,null,null,[],null,Tampon kaideleri sabit olmalı ve ray ekseninde olmalıdır.,ÜB.FR.38,R.04,null,null,"[""modul_g_tam""]",null,null
MAD-0007,7,01 - Kuyu Dibi,Genel,Ek Mühendislik,EK-M-002,Regülatör gergi taşıyıcısı,"Taşıyıcıda gevşeme, zayıf kaynak veya ayrılma riski olup olmadığını incele.",null,null,Şüpheli uygulama|Kritik kusur,null,null,null,null,null,null,null,null,false,null,null,[],null,null,null,null,null,null,"[""modul_g_tam""]",null,null
MAD-0008,8,01 - Kuyu Dibi,Genel,Ek Mühendislik,EK-M-003,Kabin altı karkas ve bağlantılar,"Deformasyon, eksik civata, çatlak kaynak ve zayıf yük taşıyan bağlantıları incele.",null,null,Şüpheli uygulama|Kritik kusur,null,null,null,null,null,null,null,null,false,null,null,[],null,null,null,null,null,null,"[""modul_g_tam""]",null,null
MAD-0008A,8,01 - Kuyu Dibi,Genel,Saha Ölçümü,ÜB.FR.38 R.04 / ÜB.FR.39 R.02 — Temel Kuyu Tasarım Ölçüleri,Kuyu dibinde alınacak temel yerleşim ölçüleri,"Kuyuya girdikten sonra erişilebilen sabit yüzeylerden kuyu genişliği ve derinliğini, kabin tampon yüksekliğini ve karşı ağırlığın kuyudaki yerini ölçüp kaydedin; bu alan otomatik uygunluk sonucu üretmez, yalnızca saha kaydıdır.",C,Ölçüm,null,null,null,null,null,null,null,null,null,true,null,null,"[{""id"":""kuyu_genisligi"",""etiket"":""Kuyu genişliği"",""birim"":""mm"",""tur"":""sayi"",""kaynak"":""ÜB.FR.38 R.04 — Temel Kuyu Tasarım Ölçüleri; ÜB.FR.39 R.02 — Temel Kuyu Tasarım Ölçüleri"",""referans_metni"":""Sahada görülen değer kaydedilir; uygulama otomatik uygunluk kararı vermez.""},{""id"":""kuyu_derinligi"",""etiket"":""Kuyu derinliği"",""birim"":""mm"",""tur"":""sayi"",""kaynak"":""ÜB.FR.38 R.04 — Temel Kuyu Tasarım Ölçüleri; ÜB.FR.39 R.02 — Temel Kuyu Tasarım Ölçüleri"",""referans_metni"":""Sahada görülen değer kaydedilir; uygulama otomatik uygunluk kararı vermez.""},{""id"":""karsi_agirlik_yeri"",""etiket"":""Karşı ağırlığın kuyudaki yeri"",""birim"":null,""tur"":""secim"",""secenekler"":[""Arka"",""Sol"",""Sağ""],""kaynak"":""ÜB.FR.38 R.04 — Temel Kuyu Tasarım Ölçüleri; ÜB.FR.39 R.02 — Temel Kuyu Tasarım Ölçüleri"",""referans_metni"":""Sahadaki yerleşime göre seçilir; uygulama otomatik uygunluk kararı vermez.""},{""id"":""kabin_tampon_yuksekligi"",""etiket"":""Kabin tampon yüksekliği"",""birim"":""mm"",""tur"":""sayi"",""kaynak"":""ÜB.FR.38 R.04 / ÜB.FR.39 R.02 — Temel Kuyu Tasarım Ölçüleri"",""referans_metni"":""Sahada görülen değer kaydedilir; uygulama otomatik uygunluk kararı vermez.""},{""id"":""kuyu_dibi_yuksekligi"",""etiket"":""Kuyu dibi yüksekliği"",""birim"":""mm"",""tur"":""sayi"",""kaynak"":""ÜB.FR.38 R.04 / ÜB.FR.39 R.02 — Temel Kuyu Tasarım Ölçüleri"",""referans_metni"":""Sahada görülen değer kaydedilir; uygulama otomatik uygunluk kararı vermez.""}]",null,"TEMEL KUYU TASARIM ÖLÇÜLERİ (mm): Kuyu genişliği, Kuyu derinliği, Kabin tampon yüksekliği, Ray ile kapı arası, Kuyu dibi yüksekliği, Karşı ağırlık yeri (Arka/Sol/Sağ), Kabin raylar arası, Karşı ağırlık raylar arası, Kabin kılavuz ray tipi, Karşı ağırlık kılavuz ray tipi, Kat kapısı net genişliği, Kat kapısı net yüksekliği, Kat kapısının tipi (Otomatik/Manuel) ve açılma yönü (Sağ/Sol/Merkezi/Düşey), Kabin genişliği, Kabin derinliği, Kabin kılavuz ray konsolları arası mesafe, Kabin patenleri arası düşey mesafe, Karşı ağırlık kılavuz ray konsolları arası mesafe, Karşı ağırlık patenleri arası düşey mesafe.",ÜB.FR.38,R.04,null,null,"[""modul_g_tam"",""saha_teyidi_e"",""saha_teyidi_h1""]",null,null
MAD-0008E,8,01 - Kuyu Dibi,81-1/2+A3,Saha Ölçümü,ÜB.FR.39 R.02 — Temel Kuyu Tasarım Ölçüleri,A3 setinde kuyu dibi ve tampon temel ölçüleri,FR.39 temel kuyu tasarım tablosu için kuyu dibi yüksekliğini ve kabin tampon yüksekliğini sahada ölçerek kaydedin; bu alan otomatik uygunluk sonucu üretmez.,C,Ölçüm,null,null,null,null,null,null,null,null,null,true,null,null,"[{""id"":""a3_kuyu_dibi_yuksekligi"",""etiket"":""Kuyu dibi yüksekliği"",""birim"":""mm"",""tur"":""sayi"",""kaynak"":""ÜB.FR.39 R.02 — Temel Kuyu Tasarım Ölçüleri"",""referans_metni"":""Sahada görülen değer kaydedilir; uygulama otomatik uygunluk kararı vermez.""},{""id"":""a3_kabin_tampon_yuksekligi"",""etiket"":""Kabin tampon yüksekliği"",""birim"":""mm"",""tur"":""sayi"",""kaynak"":""ÜB.FR.39 R.02 — Temel Kuyu Tasarım Ölçüleri"",""referans_metni"":""Sahada görülen değer kaydedilir; uygulama otomatik uygunluk kararı vermez.""}]",null,"TEMEL KUYU TASARIM ÖLÇÜLERİ (mm): Kuyu genişliği, Kuyu derinliği, Kabin tampon yüksekliği, Ray ile kapı arası, Kuyu dibi yüksekliği, Karşı ağırlık yeri (Arka/Sol/Sağ), Kabin raylar arası, Karşı ağırlık raylar arası, Kabin kılavuz ray tipi, Karşı ağırlık kılavuz ray tipi, Kat kapısı net genişliği, Kat kapısı net yüksekliği, Kat kapısının tipi (Otomatik/Manuel) ve açılma yönü (Sağ/Sol/Merkezi/Düşey), Kabin genişliği, Kabin derinliği.",ÜB.FR.39,R.02,null,null,"[""modul_g_tam""]",null,null
